trial,agent,wealth,return_pct
0,random,6421.221019057038,-35.787789809429626
0,career,10401.039093141624,4.010390931416241
0,trend,3908.5910844203636,-60.91408915579636
0,genre,10000.0,0.0
0,mean_rev,10564.60344140375,5.646034414037494
0,loyalty,9526.93787214744,-4.730621278525596
0,value,9901.254828803765,-0.9874517119623488
0,momentum,8594.006326105815,-14.05993673894185
0,adaptive,8016.930539182228,-19.83069460817772
0,hybrid,17201.981767490965,72.01981767490965
0,q_learning,3531.334375220629,-64.6866562477937
1,random,6777.600299781359,-32.22399700218641
1,career,10803.782915567037,8.03782915567037
1,trend,4463.653990963305,-55.36346009036695
1,genre,10000.0,0.0
1,mean_rev,10966.177049394497,9.66177049394497
1,loyalty,9716.336312334868,-2.8366368766513186
1,value,10367.971387675603,3.679713876756032
1,momentum,9138.497034291751,-8.615029657082486
1,adaptive,9039.066633394452,-9.609333666055482
1,hybrid,18974.918180795463,89.74918180795463
1,q_learning,4338.682441481438,-56.613175585185616
2,random,6319.5251938873525,-36.804748061126475
2,career,11039.41417065926,10.394141706592599
2,trend,4023.251690819643,-59.76748309180357
2,genre,10000.0,0.0
2,mean_rev,11726.983084484838,17.269830844848386
2,loyalty,9813.794522497275,-1.8620547750272454
2,value,11067.452093606824,10.67452093606824
2,momentum,8138.666175828187,-18.61333824171813
2,adaptive,7139.16623564379,-28.6083376435621
2,hybrid,18374.81297747342,83.7481297747342
2,q_learning,5023.094665855947,-49.76905334144053
3,random,6757.167575509945,-32.42832424490055
3,career,10070.238081804726,0.7023808180472588
3,trend,3910.037264578452,-60.89962735421548
3,genre,10000.0,0.0
3,mean_rev,9488.015942115366,-5.119840578846342
3,loyalty,9656.380245626231,-3.4361975437376895
3,value,11003.424013974934,10.034240139749345
3,momentum,8593.76196194615,-14.062380380538507
3,adaptive,8455.487554220761,-15.44512445779239
3,hybrid,16083.963704871554,60.83963704871554
3,q_learning,4126.2703015957495,-58.7372969840425
4,random,6642.45878033205,-33.5754121966795
4,career,10041.132809089888,0.4113280908988781
4,trend,4388.873425355712,-56.111265746442875
4,genre,10000.0,0.0
4,mean_rev,9731.215796581862,-2.6878420341813762
4,loyalty,9526.932957963692,-4.730670420363076
4,value,10698.97476245522,6.989747624552201
4,momentum,8328.361646503034,-16.716383534969665
4,adaptive,8329.207759440997,-16.707922405590033
4,hybrid,18168.845892667832,81.68845892667832
4,q_learning,3858.92573459504,-61.4107426540496
5,random,7116.957072600568,-28.830429273994323
5,career,9447.246752972354,-5.527532470276456
5,trend,5428.149698318143,-45.718503016818566
5,genre,10000.0,0.0
5,mean_rev,10451.299239980412,4.512992399804116
5,loyalty,9626.565278910528,-3.734347210894721
5,value,11081.136514739925,10.811365147399247
5,momentum,8663.805978054736,-13.361940219452645
5,adaptive,7679.930854592421,-23.200691454075788
5,hybrid,17233.19240897802,72.33192408978019
5,q_learning,3749.632181449941,-62.5036781855006
6,random,6330.687377589483,-36.69312622410517
6,career,10223.148459018565,2.231484590185646
6,trend,4398.504925118949,-56.014950748810506
6,genre,10000.0,0.0
6,mean_rev,12942.949242025403,29.42949242025403
6,loyalty,9794.830850917444,-2.05169149082556
6,value,10808.480558714124,8.084805587141236
6,momentum,9408.234679182813,-5.917653208171869
6,adaptive,8959.993847157737,-10.40006152842263
6,hybrid,18502.990679853294,85.02990679853293
6,q_learning,3374.677917361599,-66.25322082638401
7,random,6571.78684743231,-34.282131525676895
7,career,10063.94994307919,0.6394994307918932
7,trend,3613.7387946064523,-63.86261205393548
7,genre,10000.0,0.0
7,mean_rev,10112.5510042926,1.1255100429259983
7,loyalty,9624.138491474105,-3.7586150852589526
7,value,10181.602448765465,1.8160244876546494
7,momentum,8724.622596024608,-12.753774039753916
7,adaptive,7318.485580240368,-26.815144197596318
7,hybrid,18020.57760689032,80.20577606890322
7,q_learning,3705.335425751852,-62.94664574248148
8,random,6667.875468527828,-33.32124531472172
8,career,11231.604224048662,12.316042240486622
8,trend,4244.486093325811,-57.55513906674189
8,genre,10000.0,0.0
8,mean_rev,8362.840883837767,-16.371591161622327
8,loyalty,9485.726271842206,-5.142737281577938
8,value,10083.947857623158,0.8394785762315768
8,momentum,8626.404178716133,-13.735958212838668
8,adaptive,8188.6976278822,-18.113023721177996
8,hybrid,16833.98683954904,68.33986839549041
8,q_learning,3626.9342940981633,-63.73065705901837
9,random,6315.697642199612,-36.84302357800388
9,career,10288.473915966788,2.884739159667879
9,trend,4814.083699939178,-51.85916300060822
9,genre,10000.0,0.0
9,mean_rev,9481.78083296029,-5.1821916703970965
9,loyalty,9739.537759092893,-2.6046224090710712
9,value,10493.378541363367,4.933785413633668
9,momentum,8943.751204368222,-10.562487956317781
9,adaptive,9096.253056390962,-9.037469436090378
9,hybrid,17390.667549173002,73.90667549173003
9,q_learning,4561.430324198762,-54.38569675801238
10,random,6688.198407215575,-33.118015927844255
10,career,10548.342828182025,5.4834282818202515
10,trend,5184.999096545378,-48.15000903454622
10,genre,10000.0,0.0
10,mean_rev,10147.22228803471,1.472222880347108
10,loyalty,9549.121486044716,-4.508785139552838
10,value,11330.323425535616,13.303234255356164
10,momentum,9165.62423343413,-8.343757665658705
10,adaptive,7486.39379271653,-25.1360620728347
10,hybrid,17242.026402171898,72.42026402171898
10,q_learning,2633.7237083027994,-73.662762916972
11,random,6223.23392127773,-37.7676607872227
11,career,10814.193376745383,8.141933767453828
11,trend,4718.264031864441,-52.81735968135559
11,genre,10000.0,0.0
11,mean_rev,12152.037636632194,21.520376366321944
11,loyalty,9814.285864203855,-1.8571413579614455
11,value,10325.120316537845,3.2512031653784472
11,momentum,9407.607142470304,-5.923928575296959
11,adaptive,9060.589741126823,-9.394102588731766
11,hybrid,18410.13551848041,84.10135518480409
11,q_learning,3555.6302901070803,-64.44369709892919
12,random,6592.379041177802,-34.076209588221985
12,career,9974.382729665527,-0.2561727033447278
12,trend,4270.7885012166425,-57.29211498783357
12,genre,10000.0,0.0
12,mean_rev,10940.6973726394,9.406973726394007
12,loyalty,9483.6178535725,-5.163821464275006
12,value,9935.127295691062,-0.6487270430893841
12,momentum,8208.30962282707,-17.916903771729302
12,adaptive,8555.840705046385,-14.441592949536153
12,hybrid,17420.105241033598,74.20105241033598
12,q_learning,3345.843158125235,-66.54156841874764
13,random,6422.577917864794,-35.77422082135207
13,career,10108.072809215513,1.0807280921551319
13,trend,3520.0431602247754,-64.79956839775224
13,genre,10000.0,0.0
13,mean_rev,12177.368857098461,21.773688570984614
13,loyalty,9896.712410192387,-1.0328758980761268
13,value,10683.001506269826,6.830015062698258
13,momentum,8801.639971266928,-11.983600287330718
13,adaptive,7277.131147052467,-27.22868852947533
13,hybrid,18449.6830273708,84.496830273708
13,q_learning,3628.2690609636707,-63.7173093903633
14,random,6594.543489687013,-34.054565103129875
14,career,9727.162729383828,-2.7283727061617173
14,trend,4939.865782918956,-50.60134217081044
14,genre,10000.0,0.0
14,mean_rev,9291.667890904631,-7.083321090953686
14,loyalty,9785.529987877999,-2.144700121220012
14,value,10521.639244703465,5.21639244703465
14,momentum,8671.055840686802,-13.289441593131977
14,adaptive,8332.8207467834,-16.671792532166002
14,hybrid,18337.01352005157,83.37013520051569
14,q_learning,3612.3826067400855,-63.87617393259914
15,random,6560.0326718967635,-34.39967328103236
15,career,10209.458136761845,2.094581367618448
15,trend,3647.1274052246786,-63.52872594775321
15,genre,10000.0,0.0
15,mean_rev,9833.272583285476,-1.6672741671452422
15,loyalty,9550.492356481047,-4.495076435189531
15,value,10080.00628847715,0.8000628847715052
15,momentum,8704.515465816088,-12.954845341839118
15,adaptive,8622.89178200558,-13.771082179944205
15,hybrid,17467.082898745666,74.67082898745666
15,q_learning,3120.2658222293508,-68.79734177770649
16,random,6060.200518541836,-39.397994814581644
16,career,8480.715321407022,-15.192846785929778
16,trend,3829.6434324916495,-61.7035656750835
16,genre,10000.0,0.0
16,mean_rev,10406.719100577066,4.067191005770655
16,loyalty,9510.733598558309,-4.892664014416914
16,value,9993.567165437049,-0.0643283456295103
16,momentum,8067.193135778301,-19.328068642216987
16,adaptive,6762.48407937277,-32.3751592062723
16,hybrid,15937.705873542005,59.37705873542005
16,q_learning,3441.5194070410425,-65.58480592958958
17,random,6228.624599865765,-37.71375400134235
17,career,11665.69764628397,16.6569764628397
17,trend,4630.4912348262815,-53.69508765173718
17,genre,10000.0,0.0
17,mean_rev,9920.844633382447,-0.7915536661755322
17,loyalty,9645.095667978921,-3.549043320210785
17,value,9923.999470662013,-0.7600052933798724
17,momentum,8956.724954715175,-10.43275045284825
17,adaptive,8280.9542639578,-17.190457360422005
17,hybrid,16222.343254919339,62.22343254919338
17,q_learning,3719.8576446157995,-62.80142355384201
18,random,6195.5801714077015,-38.04419828592299
18,career,10028.82495147975,0.2882495147974987
18,trend,4871.935201952793,-51.28064798047207
18,genre,10000.0,0.0
18,mean_rev,13531.99993087915,35.3199993087915
18,loyalty,9720.037514745569,-2.7996248525443117
18,value,11947.579335279315,19.475793352793154
18,momentum,8356.880775659321,-16.431192243406784
18,adaptive,7705.974446276791,-22.940255537232087
18,hybrid,16545.791858396402,65.45791858396402
18,q_learning,3161.798580170807,-68.38201419829193
19,random,6980.337592279096,-30.196624077209044
19,career,11126.863776923721,11.26863776923721
19,trend,4386.930985780537,-56.130690142194624
19,genre,10000.0,0.0
19,mean_rev,10148.379340798881,1.4837934079888146
19,loyalty,9687.062806923426,-3.1293719307657373
19,value,9765.5826167474,-2.344173832525994
19,momentum,8432.19049968381,-15.678095003161907
19,adaptive,7810.908838249552,-21.89091161750448
19,hybrid,15819.739723190252,58.19739723190252
19,q_learning,3673.7976770426176,-63.26202322957383
20,random,6240.271965979626,-37.597280340203746
20,career,10732.432183208382,7.324321832083824
20,trend,3813.473918065251,-61.8652608193475
20,genre,10000.0,0.0
20,mean_rev,9275.585935041821,-7.244140649581786
20,loyalty,9519.719330571557,-4.802806694284427
20,value,10459.253901151838,4.592539011518384
20,momentum,8284.812535720508,-17.15187464279492
20,adaptive,7044.108266519573,-29.558917334804274
20,hybrid,17136.509045365037,71.36509045365037
