trial,composition,agent,agent_type,wealth,return_pct
0,balanced,random_0,random,6176.940140829685,-38.23059859170315
0,balanced,momentum_1,momentum,8023.178830014172,-19.768211699858284
0,balanced,mean_rev_2,mean_rev,10861.383422932106,8.613834229321055
0,balanced,value_3,value,10750.293349722087,7.502933497220875
0,balanced,genre_4,genre,19818.93169595507,98.18931695955071
0,balanced,career_5,career,8870.160390554505,-11.298396094454947
0,balanced,loyalty_6,loyalty,9507.712373191926,-4.922876268080745
0,balanced,trend_7,trend,5093.031231803487,-49.069687681965135
1,balanced,random_0,random,6314.648979337177,-36.853510206628236
1,balanced,momentum_1,momentum,8081.2917614496355,-19.187082385503643
1,balanced,mean_rev_2,mean_rev,11710.577001804428,17.10577001804428
1,balanced,value_3,value,9421.909961487958,-5.780900385120422
1,balanced,genre_4,genre,19753.0771140839,97.530771140839
1,balanced,career_5,career,9798.797093221134,-2.0120290677886623
1,balanced,loyalty_6,loyalty,9440.056874810787,-5.5994312518921285
1,balanced,trend_7,trend,4093.095918384462,-59.06904081615537
2,balanced,random_0,random,6362.823556280215,-36.371764437197854
2,balanced,momentum_1,momentum,7896.971848238091,-21.030281517619088
2,balanced,mean_rev_2,mean_rev,10271.706784228558,2.7170678422855783
2,balanced,value_3,value,10133.50485513063,1.3350485513062995
2,balanced,genre_4,genre,20962.30487563618,109.62304875636178
2,balanced,career_5,career,9802.79477063516,-1.972052293648394
2,balanced,loyalty_6,loyalty,9685.667771710016,-3.143322282899844
2,balanced,trend_7,trend,4352.909178438017,-56.47090821561983
3,balanced,random_0,random,6733.610466261861,-32.66389533738139
3,balanced,momentum_1,momentum,8764.398634955327,-12.35601365044673
3,balanced,mean_rev_2,mean_rev,11418.904497032836,14.189044970328359
3,balanced,value_3,value,10159.469920917869,1.5946992091786887
3,balanced,genre_4,genre,21559.07341391838,115.59073413918381
3,balanced,career_5,career,11555.389837709321,15.55389837709321
3,balanced,loyalty_6,loyalty,9703.638409753536,-2.9636159024646442
3,balanced,trend_7,trend,4674.868988587082,-53.25131011412918
4,balanced,random_0,random,6929.703579008031,-30.702964209919692
4,balanced,momentum_1,momentum,8453.734374528194,-15.462656254718059
4,balanced,mean_rev_2,mean_rev,9790.508756308767,-2.0949124369123275
4,balanced,value_3,value,10630.296378863542,6.302963788635425
4,balanced,genre_4,genre,20670.530134301953,106.70530134301953
4,balanced,career_5,career,10628.023336268923,6.280233362689232
4,balanced,loyalty_6,loyalty,9576.672151011868,-4.2332784898813225
4,balanced,trend_7,trend,4782.7376902431515,-52.17262309756848
5,balanced,random_0,random,6533.065854731514,-34.669341452684854
5,balanced,momentum_1,momentum,8597.60258702338,-14.023974129766193
5,balanced,mean_rev_2,mean_rev,11233.571011635888,12.335710116358877
5,balanced,value_3,value,10383.942948992433,3.839429489924332
5,balanced,genre_4,genre,19745.759376942944,97.45759376942944
5,balanced,career_5,career,8860.227552255406,-11.397724477445935
5,balanced,loyalty_6,loyalty,9687.78072279538,-3.122192772046201
5,balanced,trend_7,trend,4969.696676269122,-50.30303323730878
6,balanced,random_0,random,6572.937941907953,-34.270620580920465
6,balanced,momentum_1,momentum,8217.784532281032,-17.822154677189683
6,balanced,mean_rev_2,mean_rev,12731.290653467608,27.312906534676078
6,balanced,value_3,value,10723.059002763472,7.230590027634716
6,balanced,genre_4,genre,20112.524720647434,101.12524720647434
6,balanced,career_5,career,10555.048118644836,5.55048118644836
6,balanced,loyalty_6,loyalty,9580.70657641686,-4.192934235831399
6,balanced,trend_7,trend,4939.24336491501,-50.6075663508499
7,balanced,random_0,random,7006.849169766023,-29.931508302339772
7,balanced,momentum_1,momentum,8024.652600512845,-19.75347399487155
7,balanced,mean_rev_2,mean_rev,10575.178817273816,5.751788172738161
7,balanced,value_3,value,9878.374799891088,-1.216252001089124
7,balanced,genre_4,genre,21206.432262337417,112.06432262337417
7,balanced,career_5,career,8967.4254761784,-10.325745238216005
7,balanced,loyalty_6,loyalty,9692.125271377563,-3.0787472862243703
7,balanced,trend_7,trend,3807.5425411538527,-61.924574588461475
8,balanced,random_0,random,6386.530349260158,-36.134696507398424
8,balanced,momentum_1,momentum,8369.146274671863,-16.308537253281376
8,balanced,mean_rev_2,mean_rev,11244.653571550436,12.44653571550436
8,balanced,value_3,value,10925.807840469859,9.25807840469859
8,balanced,genre_4,genre,19825.892002065295,98.25892002065295
8,balanced,career_5,career,9226.106002479328,-7.738939975206722
8,balanced,loyalty_6,loyalty,9742.633676134568,-2.573663238654317
8,balanced,trend_7,trend,4416.458895576955,-55.83541104423045
9,balanced,random_0,random,7299.5898560787355,-27.004101439212647
9,balanced,momentum_1,momentum,8856.221929930423,-11.437780700695766
9,balanced,mean_rev_2,mean_rev,9708.738247105252,-2.912617528947485
9,balanced,value_3,value,10884.920751901502,8.849207519015017
9,balanced,genre_4,genre,22738.605224168277,127.38605224168278
9,balanced,career_5,career,9114.156749945407,-8.858432500545932
9,balanced,loyalty_6,loyalty,9565.456915277631,-4.345430847223688
