trial,config,states,steps,agent,wealth,return_pct
28,base_500,base,500,random,6700.600306276592,-32.99399693723408
29,base_500,base,500,ql,4677.055588907531,-53.22944411092469
29,base_500,base,500,momentum,9342.066561696047,-6.579334383039532
29,base_500,base,500,random,5739.589647927719,-42.60410352072281
0,base_1000,base,1000,ql,1034.8783954296282,-89.65121604570372
0,base_1000,base,1000,momentum,7678.633865299308,-23.21366134700692
0,base_1000,base,1000,random,5103.788019123073,-48.962119808769266
1,base_1000,base,1000,ql,1061.3386296849064,-89.38661370315094
1,base_1000,base,1000,momentum,7084.212598226977,-29.15787401773023
1,base_1000,base,1000,random,5347.533229787842,-46.524667702121576
2,base_1000,base,1000,ql,1227.6303015784913,-87.7236969842151
2,base_1000,base,1000,momentum,7922.3340039650375,-20.776659960349626
2,base_1000,base,1000,random,5479.222909666831,-45.20777090333169
3,base_1000,base,1000,ql,1098.906930180313,-89.01093069819686
3,base_1000,base,1000,momentum,7696.38990374193,-23.036100962580704
3,base_1000,base,1000,random,5049.733594396474,-49.502664056035265
4,base_1000,base,1000,ql,713.6444449686697,-92.86355555031331
4,base_1000,base,1000,momentum,7371.16958837357,-26.2883041162643
4,base_1000,base,1000,random,5369.187186676066,-46.30812813323934
5,base_1000,base,1000,ql,798.9565315965654,-92.01043468403435
5,base_1000,base,1000,momentum,7702.611056275993,-22.973889437240068
5,base_1000,base,1000,random,5008.788616638164,-49.912113833618356
6,base_1000,base,1000,ql,918.2887656613287,-90.81711234338671
6,base_1000,base,1000,momentum,7295.978092708373,-27.04021907291627
6,base_1000,base,1000,random,4838.488882660405,-51.61511117339595
7,base_1000,base,1000,ql,2247.197363189877,-77.52802636810124
7,base_1000,base,1000,momentum,8341.169256831912,-16.588307431680878
7,base_1000,base,1000,random,4752.507462362756,-52.47492537637244
8,base_1000,base,1000,ql,914.3621167787746,-90.85637883221224
8,base_1000,base,1000,momentum,7606.954283811148,-23.930457161888516
8,base_1000,base,1000,random,5448.078926851435,-45.51921073148564
9,base_1000,base,1000,ql,888.4933452401352,-91.11506654759866
9,base_1000,base,1000,momentum,8495.957813027117,-15.040421869728835
9,base_1000,base,1000,random,5873.331761844151,-41.266682381558496
10,base_1000,base,1000,ql,1658.0107024956947,-83.41989297504306
10,base_1000,base,1000,momentum,7386.314513509206,-26.136854864907935
10,base_1000,base,1000,random,4857.350016751851,-51.42649983248148
11,base_1000,base,1000,ql,930.0143715564469,-90.69985628443554
11,base_1000,base,1000,momentum,7689.381349936832,-23.106186500631683
11,base_1000,base,1000,random,4922.887441127038,-50.77112558872962
12,base_1000,base,1000,ql,1034.7257203200882,-89.65274279679912
12,base_1000,base,1000,momentum,7639.75778858521,-23.602422114147902
