trial,volatility,agent,wealth,return_pct
7,0.2,adaptive,7533.445278875378,-24.66554721124622
7,0.2,hybrid,16725.300680173656,67.25300680173656
7,0.2,q_learning,3693.3937902424623,-63.066062097575376
8,0.2,random,6312.989272665797,-36.87010727334203
8,0.2,career,10137.237070386427,1.3723707038642714
8,0.2,trend,6786.554183914505,-32.13445816085495
8,0.2,genre,10000.0,0.0
8,0.2,mean_rev,9819.433243003565,-1.805667569964353
8,0.2,loyalty,9504.554398706654,-4.95445601293346
8,0.2,value,10185.726718071803,1.8572671807180268
8,0.2,momentum,8261.540157379659,-17.38459842620341
8,0.2,adaptive,7638.191138436989,-23.618088615630114
8,0.2,hybrid,15739.024087716294,57.39024087716294
8,0.2,q_learning,3223.507368264255,-67.76492631735745
9,0.2,random,6593.49386567625,-34.0650613432375
9,0.2,career,9449.955621610445,-5.500443783895553
9,0.2,trend,7526.133677112767,-24.73866322887233
9,0.2,genre,10000.0,0.0
9,0.2,mean_rev,9500.76283774442,-4.992371622555802
9,0.2,loyalty,9858.01998910536,-1.4198001089464014
9,0.2,value,9720.828684175749,-2.79171315824251
9,0.2,momentum,7989.535501913683,-20.104644980863167
9,0.2,adaptive,7532.036786382206,-24.679632136177943
9,0.2,hybrid,15849.871503368217,58.49871503368217
9,0.2,q_learning,3649.000760995589,-63.50999239004411
10,0.2,random,6612.6948339653,-33.873051660347
10,0.2,career,11750.57488689904,17.505748868990395
10,0.2,trend,6353.746961649134,-36.46253038350866
10,0.2,genre,10000.0,0.0
10,0.2,mean_rev,8710.814387951514,-12.891856120484864
10,0.2,loyalty,9485.367181438061,-5.146328185619386
10,0.2,value,9491.125161127875,-5.0887483887212515
10,0.2,momentum,8350.071840755969,-16.499281592440312
10,0.2,adaptive,7838.535256782807,-21.61464743217193
10,0.2,hybrid,15487.889669824624,54.878896698246244
10,0.2,q_learning,3192.4876753577005,-68.07512324642299
11,0.2,random,6301.640066852296,-36.983599331477045
11,0.2,career,8935.886808259895,-10.641131917401053
11,0.2,trend,6946.052897137827,-30.53947102862173
11,0.2,genre,10000.0,0.0
11,0.2,mean_rev,8775.606834970054,-12.243931650299455
11,0.2,loyalty,9814.876755262889,-1.8512324473711124
11,0.2,value,9705.641424196272,-2.9435857580372793
11,0.2,momentum,7991.421069109863,-20.08578930890137
11,0.2,adaptive,7050.715787750882,-29.492842122491183
11,0.2,hybrid,16563.15027200761,65.6315027200761
11,0.2,q_learning,4280.335710039227,-57.19664289960773
12,0.2,random,6764.322965693266,-32.35677034306734
12,0.2,career,8954.33928423086,-10.456607157691396
12,0.2,trend,6060.781122248516,-39.39218877751484
12,0.2,genre,10000.0,0.0
12,0.2,mean_rev,8985.334888930493,-10.146651110695075
12,0.2,loyalty,9701.420085526219,-2.9857991447378116
12,0.2,value,8783.876895922669,-12.161231040773309
12,0.2,momentum,7786.919247523768,-22.13080752476232
12,0.2,adaptive,7733.7194669816245,-22.662805330183755
12,0.2,hybrid,15684.995368166996,56.84995368166996
12,0.2,q_learning,3335.081721645998,-66.64918278354001
13,0.2,random,5969.942153498633,-40.30057846501367
13,0.2,career,9210.834313769214,-7.891656862307864
13,0.2,trend,5258.614792965849,-47.413852070341505
13,0.2,genre,10000.0,0.0
13,0.2,mean_rev,9650.028235980193,-3.4997176401980687
13,0.2,loyalty,9583.834365024453,-4.161656349755467
13,0.2,value,8945.249775435852,-10.54750224564148
13,0.2,momentum,8133.2567262489265,-18.667432737510737
13,0.2,adaptive,7795.653604517877,-22.043463954821227
13,0.2,hybrid,15576.596219989342,55.76596219989342
13,0.2,q_learning,3227.69062798117,-67.7230937201883
14,0.2,random,6258.690189524522,-37.41309810475478
14,0.2,career,9108.969726046971,-8.91030273953029
14,0.2,trend,5897.463369283771,-41.025366307162294
14,0.2,genre,10000.0,0.0
14,0.2,mean_rev,8521.39497157209,-14.7860502842791
14,0.2,loyalty,9565.790170461514,-4.342098295384858
14,0.2,value,9104.972608525515,-8.950273914744848
14,0.2,momentum,7664.845961513015,-23.35154038486985
14,0.2,adaptive,7019.756009567295,-29.80243990432705
14,0.2,hybrid,14776.341325036938,47.763413250369375
14,0.2,q_learning,3509.208324647152,-64.90791675352848
15,0.2,random,6368.416109086628,-36.31583890913372
15,0.2,career,10831.231491955123,8.312314919551227
15,0.2,trend,4624.981525179615,-53.75018474820385
15,0.2,genre,10000.0,0.0
15,0.2,mean_rev,8156.50848478827,-18.434915152117302
15,0.2,loyalty,9681.50674544468,-3.1849325455532016
15,0.2,value,9330.654919636638,-6.693450803633623
15,0.2,momentum,7919.658489683954,-20.80341510316046
15,0.2,adaptive,7989.90502786749,-20.100949721325097
